vulnerability_id,vulnerability_aliases,affected_product,affected_subcomponent,status,status_notes,justification,impact_statement,action_statement
"CVE-2019-11881","","pkg:golang/github.com/harvester/harvester","pkg:golang/github.com/rancher/rancher@v0.0.0-20240919204204-3da2ae0cabd1","not_affected","","vulnerable_code_not_present","The commit version of the dependency in use doesn't have the vulnerable code",""
"CVE-2019-12274","","pkg:golang/github.com/harvester/harvester","pkg:golang/github.com/rancher/rancher@v0.0.0-20240919204204-3da2ae0cabd1","not_affected","","vulnerable_code_not_present","The commit version of the dependency in use doesn't have the vulnerable code",""
"CVE-2019-12274","GO-2023-1991,GHSA-gc62-j469-9gjm","pkg:golang/github.com/rancher/kube-api-auth","pkg:golang/github.com/rancher/rancher","not_affected","","inline_mitigations_already_exist","The vulnerability is already patched since version v0.2.0 of kube-api-auth.",""
"CVE-2021-25313","","pkg:golang/github.com/harvester/harvester","pkg:golang/github.com/rancher/rancher@v0.0.0-20240919204204-3da2ae0cabd1","not_affected","","vulnerable_code_not_present","The commit version of the dependency in use doesn't have the vulnerable code",""
"CVE-2021-36775","","pkg:golang/github.com/harvester/harvester","pkg:golang/github.com/rancher/rancher@v0.0.0-20240919204204-3da2ae0cabd1","not_affected","","vulnerable_code_not_present","The commit version of the dependency in use doesn't have the vulnerable code",""
"CVE-2021-36775","GO-2024-2760,GHSA-28g7-896h-695v","pkg:golang/github.com/rancher/kube-api-auth","pkg:golang/github.com/rancher/rancher","not_affected","","inline_mitigations_already_exist","The vulnerability is already patched since version v0.2.0 of kube-api-auth.",""
"CVE-2023-2253","","pkg:golang/k8s.io/kubernetes","pkg:golang/github.com/docker/distribution@v2.8.1+incompatible","not_affected","","vulnerable_code_not_present","Upstream confirmed that the affected code is not present in Kubernetes - https://github.com/kubernetes/kubernetes/issues/122457 .",""
"CVE-2023-28840","","pkg:golang/helm.sh/helm/v3","pkg:golang/github.com/docker/docker@v23.0.1+incompatible","not_affected","","vulnerable_code_not_in_execute_path","Please check https://github.com/helm/helm/issues/12244",""
"CVE-2023-39325","","pkg:golang/github.com/kubernetes-sigs/cri-tools","pkg:golang/golang.org/x/net@v0.12.0","not_affected","","vulnerable_code_not_present","Upstream confirmed that the affected code is not present in cri-tools - https://github.com/kubernetes-sigs/cri-tools/issues/1285 .",""
"CVE-2023-39325","","pkg:golang/github.com/kubernetes-sigs/cri-tools","pkg:golang/golang.org/x/net@v0.14.0","not_affected","","vulnerable_code_not_present","Upstream confirmed that the affected code is not present in cri-tools - https://github.com/kubernetes-sigs/cri-tools/issues/1285 .",""
